模型名称：DUMP
合约名称：沪深300
测试时间：2012-06-12 -- 2012-06-13
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：0%
单位：300股/手
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	328
  指令总数：		328		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147468544
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-15103.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	49.09%		  成交额：	503460032
  期望收益(平均R乘数)：	0.01R		  总手续费：	30208

  总交易次数：		328		
  盈利次数比例：	49.09%		  亏损次数比例：	50.61%
  平均利润率：		-0.00%		  平均每次盈利：	-46
  标准离差率：		13489.3%		  标准离差：		284.17
  多头次数：		164		  空头次数：		163
  多头盈利次数：	84		  空头盈利次数：	77

  盈利次数：		161		  亏损次数：	166
  总盈利：		32987(0.00%)	  总亏损：	-32296(-0.00%)
  平均盈利率：		205(0.00%)	  平均亏损率：	-195(-0.00%)
  最大盈利额：		2002(0.00%)	  最大亏损额：	-1040(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	5		  最大连续亏损次数：	6
  最大连续盈利：	2002(0.00%)	  最大连续亏损：	-1315(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20120613 10:10	2545.25	多头	20120613 10:11	2544.64	1	92	-183	-274.65	2147476608.00	正常
20120613 10:11	2544.64	空头	20120613 10:12	2544.17	1	92	140	48.81	2147476736.00	正常
20120613 10:12	2544.17	多头	20120613 10:13	2543.54	1	92	-188	-279.66	2147476480.00	正常
20120613 10:13	2543.54	空头	20120613 10:14	2542.60	1	92	283	191.68	2147476736.00	正常
20120613 10:14	2542.60	多头	20120613 10:15	2542.09	1	92	-153	-244.82	2147476480.00	正常
20120613 10:15	2542.09	空头	20120613 10:16	2542.58	1	92	-147	-238.81	2147476224.00	正常
20120613 10:16	2542.58	多头	20120613 10:17	2542.36	1	92	-65	-156.93	2147476096.00	正常
20120613 10:17	2542.36	空头	20120613 10:18	2543.74	1	92	-413	-504.71	2147475584.00	正常
20120613 10:18	2543.74	多头	20120613 10:19	2544.65	1	92	274	182.55	2147475840.00	正常
20120613 10:19	2544.65	空头	20120613 10:20	2544.86	1	92	-63	-154.67	2147475712.00	正常
20120613 10:20	2544.86	多头	20120613 10:21	2545.35	1	92	146	54.13	2147475840.00	正常
20120613 10:21	2545.35	空头	20120613 10:22	2545.47	1	92	-36	-127.96	2147475712.00	正常
20120613 10:22	2545.47	多头	20120613 10:23	2546.47	1	92	302	210.10	2147475968.00	正常
20120613 10:23	2546.47	空头	20120613 10:24	2545.87	1	92	181	88.88	2147476096.00	正常
20120613 10:24	2545.87	多头	20120613 10:25	2546.14	1	92	81	-11.02	2147476096.00	正常
20120613 10:25	2546.14	空头	20120613 10:26	2545.77	1	92	112	19.89	2147476224.00	正常
20120613 10:26	2545.77	多头	20120613 10:27	2545.76	1	92	-3	-94.65	2147476224.00	正常
20120613 10:27	2545.76	空头	20120613 10:28	2545.73	1	92	7	-84.40	2147476224.00	正常
20120613 10:28	2545.73	多头	20120613 10:29	2545.23	1	92	-151	-243.10	2147475968.00	正常
20120613 10:29	2545.23	空头	20120613 10:30	2544.58	1	92	195	103.35	2147476096.00	正常
20120613 10:30	2544.58	多头	20120613 10:31	2543.77	1	92	-242	-333.44	2147475840.00	正常
20120613 10:31	2543.77	空头	20120613 10:32	2542.44	1	92	399	307.11	2147476224.00	正常
20120613 10:32	2542.44	多头	20120613 10:33	2541.85	1	92	-177	-268.25	2147475968.00	正常
20120613 10:33	2541.85	空头	20120613 10:34	2540.72	1	91	341	249.60	2147476224.00	正常
20120613 10:34	2540.72	多头	20120613 10:35	2539.91	1	91	-242	-333.22	2147475968.00	正常
20120613 10:35	2539.91	空头	20120613 10:36	2540.10	1	91	-57	-148.42	2147475840.00	正常
20120613 10:36	2540.10	多头	20120613 10:37	2540.04	1	91	-18	-109.75	2147475712.00	正常
20120613 10:37	2540.04	空头	20120613 10:38	2540.15	1	91	-33	-124.11	2147475584.00	正常
20120613 10:38	2540.15	多头	20120613 10:39	2540.68	1	91	158	66.68	2147475712.00	正常
20120613 10:39	2540.68	空头	20120613 10:40	2541.04	1	91	-109	-200.97	2147475584.00	正常
20120613 10:40	2541.04	多头	20120613 10:41	2541.84	1	91	240	148.52	2147475840.00	正常
20120613 10:41	2541.84	空头	20120613 10:42	2544.35	1	92	-753	-844.55	2147475072.00	正常
20120613 10:42	2544.35	多头	20120613 10:43	2545.39	1	92	311	219.15	2147475328.00	正常
20120613 10:43	2545.39	空头	20120613 10:44	2545.34	1	92	13	-78.74	2147475328.00	正常
20120613 10:44	2545.34	多头	20120613 10:45	2545.60	1	92	76	-15.76	2147475328.00	正常
20120613 10:45	2545.60	空头	20120613 10:46	2547.62	1	92	-606	-697.39	2147474688.00	正常
20120613 10:46	2547.62	多头	20120613 10:47	2547.74	1	92	38	-54.22	2147474688.00	正常
20120613 10:47	2547.74	空头	20120613 10:48	2548.34	1	92	-180	-272.05	2147474432.00	正常
20120613 10:48	2548.34	多头	20120613 10:49	2548.52	1	92	53	-38.94	2147474432.00	正常
20120613 10:49	2548.52	空头	20120613 10:50	2549.08	1	92	-169	-260.65	2147474176.00	正常
20120613 10:50	2549.08	多头	20120613 10:51	2548.79	1	92	-87	-179.07	2147474048.00	正常
20120613 10:51	2548.79	空头	20120613 10:52	2548.84	1	92	-14	-105.82	2147474048.00	正常
20120613 10:52	2548.84	多头	20120613 10:53	2548.94	1	92	30	-62.02	2147474048.00	正常
20120613 10:53	2548.94	空头	20120613 10:54	2548.82	1	92	34	-57.26	2147474048.00	正常
20120613 10:54	2548.82	多头	20120613 10:55	2550.84	1	92	606	514.21	2147474560.00	正常
20120613 10:55	2550.84	空头	20120613 10:56	2552.93	1	92	-626	-717.65	2147473920.00	正常
20120613 10:56	2552.93	多头	20120613 10:57	2554.28	1	92	406	314.27	2147474304.00	正常
20120613 10:57	2554.28	空头	20120613 10:58	2557.54	1	92	-978	-1070.31	2147473280.00	正常
20120613 10:58	2557.54	多头	20120613 10:59	2559.01	1	92	440	347.72	2147473664.00	正常
20120613 10:59	2559.01	空头	20120613 11:00	2559.85	1	92	-253	-345.04	2147473408.00	正常
20120613 11:00	2559.85	多头	20120613 11:01	2559.89	1	92	12	-79.85	2147473408.00	正常
20120613 11:01	2559.89	空头	20120613 11:02	2560.11	1	92	-64	-156.32	2147473280.00	正常
20120613 11:02	2560.11	多头	20120613 11:03	2559.57	1	92	-161	-252.92	2147473024.00	正常
20120613 11:03	2559.57	空头	20120613 11:04	2558.51	1	92	319	227.36	2147473280.00	正常
20120613 11:04	2558.51	多头	20120613 11:05	2558.33	1	92	-52	-143.74	2147473152.00	正常
20120613 11:05	2558.33	空头	20120613 11:06	2557.35	1	92	296	203.74	2147473408.00	正常
20120613 11:06	2557.35	多头	20120613 11:07	2559.76	1	92	724	631.52	2147474048.00	正常
20120613 11:07	2559.76	空头	20120613 11:08	2560.85	1	92	-326	-418.54	2147473664.00	正常
20120613 11:08	2560.85	多头	20120613 11:09	2561.28	1	92	131	38.32	2147473792.00	正常
20120613 11:09	2561.28	空头	20120613 11:10	2561.95	1	92	-199	-291.14	2147473536.00	正常
20120613 11:10	2561.95	多头	20120613 11:11	2563.82	1	92	562	469.65	2147474048.00	正常
20120613 11:11	2563.82	空头	20120613 11:12	2562.41	1	92	422	329.53	2147474432.00	正常
