模型名称：DUMP
合约名称：IF1305  
测试时间：2012-05-17 -- 2012-05-18
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	435
  指令总数：		435		  平均交易周期：1
  初始资金：		330000		  最终权益：	279316
  总收益率(盈利/初始资金)：	-15.36%	  盈利：	-50683.59
  扣除最大盈利后收益率：	-16.45%
  扣除最大亏损后收益率：	-14.80%

  可靠性(胜率)：	52.41%		  成交额：	675744000
  期望收益(平均R乘数)：	0.00R		  总手续费：	40545

  总交易次数：		435		
  盈利次数比例：	42.76%		  亏损次数比例：	47.36%
  平均利润率：		-0.04%		  平均每次盈利：	-117
  标准离差率：		-1762.9%		  标准离差：		410.92
  多头次数：		217		  空头次数：		217
  多头盈利次数：	91		  空头盈利次数：	95

  盈利次数：		186		  亏损次数：	206
  总盈利：		55380(16.78%)	  总亏损：	-65519(-19.85%)
  平均盈利率：		321(0.10%)	  平均亏损率：	-342(-0.10%)
  最大盈利额：		3600(1.18%)	  最大亏损额：	-1860(-0.62%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	6		  最大连续亏损次数：	11
  最大连续盈利：	3840(1.26%)	  最大连续亏损：	-3840(-1.21%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20120517 14:41	2610.4	多头	20120517 14:42	2609.8	1	94	-180	-273.9	307026.7	正常
20120517 14:42	2609.8	空头	20120517 14:43	2609.0	1	94	240	146.1	307172.8	正常
20120517 14:43	2609.0	多头	20120517 14:44	2609.4	1	94	120	26.0	307198.8	正常
20120517 14:44	2609.4	空头	20120517 14:45	2607.4	1	94	600	506.1	307704.9	正常
20120517 14:45	2607.4	多头	20120517 14:46	2605.0	1	94	-720	-813.8	306891.1	正常
20120517 14:46	2605.0	空头	20120517 14:47	2605.0	1	94	0	-93.8	306797.3	正常
20120517 14:47	2605.0	多头	20120517 14:48	2605.4	1	94	120	26.2	306823.5	正常
20120517 14:48	2605.4	空头	20120517 14:49	2605.8	1	94	-120	-213.8	306609.7	正常
20120517 14:49	2605.8	多头	20120517 14:50	2606.2	1	94	120	26.2	306635.8	正常
20120517 14:50	2606.2	空头	20120517 14:51	2606.0	1	94	60	-33.8	306602.0	正常
20120517 14:51	2606.0	多头	20120517 14:52	2607.2	1	94	360	266.1	306868.1	正常
20120517 14:52	2607.2	空头	20120517 14:53	2606.8	1	94	120	26.1	306894.3	正常
20120517 14:53	2606.8	多头	20120517 14:54	2606.6	1	94	-60	-153.8	306740.4	正常
20120517 14:54	2606.6	空头	20120517 14:55	2606.0	1	94	180	86.2	306826.7	正常
20120517 14:55	2606.0	多头	20120517 14:56	2602.2	1	94	-1140	-1233.8	305592.9	正常
20120517 14:56	2602.2	空头	20120517 14:57	2602.8	1	94	-180	-273.7	305319.2	正常
20120517 14:57	2602.8	多头	20120517 14:58	2603.6	1	94	240	146.3	305465.4	正常
20120517 14:58	2603.6	空头	20120517 14:59	2603.0	1	94	180	86.3	305551.8	正常
20120517 14:59	2603.0	多头	20120517 15:00	2603.0	1	94	0	-93.7	305458.1	正常
20120517 15:00	2603.0	空头	20120517 15:01	2603.0	1	94	0	-93.7	305364.4	正常
20120517 15:01	2603.0	多头	20120517 15:02	2603.0	1	94	0	-93.7	305270.7	正常
20120517 15:02	2603.0	空头	20120517 15:03	2603.0	1	94	0	-93.7	305177.0	正常
20120517 15:03	2603.0	多头	20120517 15:04	2602.6	1	94	-120	-213.7	304963.3	正常
20120517 15:04	2602.6	空头	20120517 15:05	2602.0	1	94	180	86.3	305049.7	正常
20120517 15:05	2602.0	多头	20120517 15:06	2602.6	1	94	180	86.3	305136.0	正常
20120517 15:06	2602.6	空头	20120517 15:07	2602.0	1	94	180	86.3	305222.4	正常
20120517 15:07	2602.0	多头	20120517 15:08	2602.4	1	94	120	26.3	305248.7	正常
20120517 15:08	2602.4	空头	20120517 15:09	2600.8	1	94	480	386.3	305635.0	正常
20120517 15:09	2600.8	多头	20120517 15:10	2601.8	1	94	300	206.4	305841.3	正常
20120517 15:10	2601.8	空头	20120517 15:11	2602.6	1	94	-240	-333.7	305507.6	正常
